"","회사이름","회사코드","리뷰코드","직종구분","재직상태","근무지역","등록일자","별점평가","승진기회","복지급여","워라밸","사내문화","경영진","기업장점","기업단점","바라는점","성장예상","추천여부"
"1",NA,"30139","1759527","연구개발","현직원","서울","2020. 07. 21",80,60,80,80,80,60,"위치가 서울, 워라벨 좋은편, 자율출퇴근제도, 식당밥 좋음, 높은 보수","단기성과 위주의 연구조직으로 경력 커리어 관리가 쉽지 않음","빈번한 조직개편으로 인해 장기적인 과제를 수행할 수 없고 이에 따라 시간이 지날 수록 연구원들의 연구역량이 떨어짐. 안정된 조직운영을 바랍니다.","비슷","이 기업을 추천하지 않습니다."
"2",NA,"30139","1758711","생산/제조","현직원","경기","2020. 07. 20",60,80,100,100,100,40,"돈. 자부심( 외부사람들에게)   자괴감( 내부 상대적박탈감)","내부적으로도 직군간 업무난도에대한 불만과 보여주기식정책이많음","직군간에 차이가 나면 뽑을때도 차별있게 뽑읍시다.. 대졸나와서 고졸한테 이래라저래라 소리들으면 스트레스받음","성장","이 기업을 추천하지 않습니다."
"3",NA,"30139","1756417","IT/인터넷","전직원","경기","2020. 07. 19",100,100,100,40,60,80,"역량을 쌓기 정말 좋습니다. 이 회사는 학사도 연구개발에 배치해주고 대학이나 학점도 별로 가리지 않습니다. 공평하게 뽑아서 역량향상의 기회를 제공하는 느낌입니다. 다만 워라밸은 찾기 힘듭니다. 물론 근무시간은 예전보다 많이 줄고 있지만, 성과 압박이나 업무량으로 인해 다들 얼굴이 어둡습니다. 이건 사업부 그리고 팀마다 다르긴 하겠죠. 역량을 쌓아서 떠나기 좋은 곳입니다. 그리고 복지나 연봉 괜찮습니다. 연봉이 높지만 사실 성과급이 큰 역할을 차지하고 계약은 크지 않습니다. 삼전보다 많이 주고 복지 좋은 곳도 많습니다. Skt나 기름집이라든가... 다만 사내 새마을금고에서 대출이 빵빵하게 나온다든가, 식당 퀄이 미쳤다든가 헬스장 시걸이 좋다든가 등은 다른 기업이 따라하기 힘든 점 같네요. 회사가 수원인 점이 안 좋다고 생각했으나 나중에 다시 보니 수원이 차라리 집 구하기도 좋았던 거 같아요. 짧게 다니고 이직했고 또 이직할 때 고민도 많았으나, 많은 걸 배웠고 이직한 곳에서도 삼전에서 배운 거 잘 써먹구 있습니다","워라밸, 특히 업무의 양이 일부 직원과 부서에 너무 편중되어있고 신입 인력의 배치가 적재적소에 되는 느낌이 아닙니다. 부족한 부서는 언제나 부족합니다. 그리고 네임밸류에 비해 복지와 계약연봉이 작은 점은 조금 아쉽습니다. 한국에서 글로벌에 비빌만한 유일한 기업인데, 직원 대우도 글로벌 수준으로 갔으면 합니다.","제가 있던 사업부는 상당히 경쟁사를 뒤쫓는 분위기였어서, 미리미리 앞서나가지 못하는 것이 좀 아쉬웠습니다. 제조업의 체질개선이 필요하다고 생각하고 또 이미 그렇게 하고 있ㅈ만, 뭔가 핵심적인 건 그대로인 것 같습니다. 들어보니 포기하고 다시 제조기반 역량을 핵심 역량으로 삼겠다던데 글쎄요...","성장","이 기업을 추천 합니다!"
"4",NA,"30139","1756052","생산/제조","현직원","경기","2020. 07. 18",100,80,100,80,100,100,"연차와 월차를 마음대로 쓸 수가 있다. 그리고 복지와 혜택같은 게 많으며 나무랄 곳이 없습니다. 선배님들이 워낙 학력 상관없이 잘 대해줍니다.","연봉이 많은 만큼 힘도 많이들고 야근이 많다. 힘든 만큼 돈도 많이 들어오니 힘든 만큼 들어오는 말이다.","최근에 사업하는 것이 전망이 잘보이지만 잘 보이는 만큼 경영도 잘 해주셨으면 좋겠습니다.","성장","이 기업을 추천 합니다!"
"5",NA,"30139","1755739","생산/제조","현직원","경기","2020. 07. 18",60,80,80,60,40,40,"경기도에 위치해서 접근성이 좋음, 기업의 네임 밸류는 최상","부서바이부서지만 아직도 존재하는 군대 문화, 서류적인 보고에 너무 집착","업무를 즉흥적으로 지시 하지말고 방향성을 가지고 지시했으면 좋겠음, 방향이 자주 바뀜","비슷","이 기업을 추천 합니다!"
"6",NA,"30139","1754889","경영/기획/컨설팅","현직원","경기","2020. 07. 17",60,60,60,40,60,20,"대기업인만큼 다양하고 체계적인 복지혜택 보유, 자사상품 저렴하게 구매 가능","복지혜택은 있지만 쓰기 힘듦(추첨제), 싸구려 자사상품만 사게됨","명확한 비전을 가지고 행동하는 경영진은 없어보임전략은 바탐업 실행은 탑다운",NA,"이 기업을 추천하지 않습니다."
"7",NA,"30139","1754351","생산관리/품질관리","전직원","경기","2020. 07. 17",100,80,100,60,100,100,"복지가 좋았습니다. 식사도 매끼 퀄리티있게 제공되고, 다이어트 식 혹은 테이크아웃도 제공됩니다. 조경도 잘 되어있어 오래 다니기 좋은 직장입니다.","좋은 복지가 제공되고, 연봉도 많은 만큼 업무 강도가 높은 것 같습니다. 자율 출퇴근제이지만, 업무 양이 많은 것이 단점입니다.","이대로도 좋은 것 같습니다. 지금도 있지만 성과에 따라 보상하는 제도를 더 만들어주시면 좋을 것 같습니다.","성장","이 기업을 추천 합니다!"
"8",NA,"30139","1753210","마케팅/시장조사","전직원","경기","2020. 07. 16",60,80,100,60,60,40,"부모님의 자랑이 된다. 회사 내(수원)에서 누리는 혜택이 매우매우 많다. 평생 직장으로 다니기에 좋은 회사.","에이전시를 부리는(?) 스킬만 늘고 본인의 전문성을 키울 수는 없다. 전략도, 구상도, 제작도, 운영도 에이전시가 하고 직원은 피드백만 주는... 어떤 이에게는 장점일 수도 있겠다. 기본급이 낮고 성과급이 높은데 무선사업부의 고 성과급 시대는 사실상 끝남. 연봉 메리트 없음.","하드웨어 개발자 마인드 버리기재계약철 되면 초조 불안 조급한거 이해하지만 밑에 직원 들볶는걸로 해결하려고 하지 않았으면..",NA,"이 기업을 추천하지 않습니다."
"9",NA,"30139","1752977","디자인","전직원","서울","2020. 07. 16",60,60,100,20,40,20,"최고의 환경 최고의 연봉으로 일할 수 있는 곳. 상당히 똑똑한 사람들이 모여 있어서 업무 성과내기 좋은 곳.","토요일과 일요일 출근은 기본. 공휴일 모두 출근해야 하는 곳. 평균 퇴근 시간은 새벽 2시. 너무 많은 정리해고.","정치싸움보다는 회사 성과 내는 데 집중해주세요. 아부 잘하는 사람보다는 일 잘하는 사람을 승진 시켜주세요.","비슷","이 기업을 추천하지 않습니다."
"10",NA,"30139","1752057","IT/인터넷","현직원","경기","2020. 07. 16",60,80,80,20,40,20,"밥이 세끼 무료, 자율 출근, 부모님이 내명함 들고다니심, 돈은 부족하지않게줌","밥먹으면 근무시간깜, 퇴근은 자율이아님, 부모님이 명함은 들고다니시지만 명함 디자인 너무구림, 회사에서 맘대로 정하는 보너스 비율","52시간제는 지킵시다. 일을 그렇게 기간 생각안하고 따오면 어떡합니까 진짜","비슷","이 기업을 추천하지 않습니다."
